中原重笔青史改革潮头定九霄龙腾,华夏迭出俊才开放阵前当万里鹏飞
敢教荒山成林海,誓把沙滩变绿洲
年年过节年年富,月月发财月月成
瑞雪纷飞丰稳岁,香梅大放富饶春
人逢盛世欣然乐,花借春风快哉开
同心同德干四化,群策群力战三春
日亨君子道,天相吉人家
门摄三阳启泰景,窗含四化兴邦图
千秋大业从今天做起,万代福源靠妙手牵来
三阳开泰家家喜,万物更新处处春
家庭扬美德,社会重和谐
昨夜彩云追月,今朝爆竹迎春
绿酒红梅迎旭日,黄莺紫燕舞春风
春风摇绿千丝柳,细雨抹黄五谷花
春来日暖莺声脆,腊去风和燕语喧
虎啸凯歌一曲,兔奔喜报九州
春自天涯苏万物,福从海角降千家
春风来海上,明月在江头
蛇腾玉宇三春暖,马到神州百业兴
春风梳柳千枝翠,夜雨润花万朵红
云霞锦绣,道路康庄
政策落实家家喜,经济繁荣人人欢
勤劳能致富,自学可成才
酌酒人陪客,迎春月倚楼
年丰人寿千村喜,国盛家和百业兴
春盈岁月心花怒放,福满城乡民气昭苏
奔腾骏马驰大道,浩荡春风遍神州
交柯树上蕾才绽,连理枝头花正开
春回大地春光好,喜到人间喜气盈
改革出盛果神州处处新气象,开放见华章祖国家家富康强
燕舞春风春舞燕,花添锦绣锦添花
承前启后写中华新史,继往开来扬古国文明
旭日出东方光弥宇宙,百花开大地春满人间
春风拂大地千枝竟秀,政策暖人心万众争先
技术革新当闯将,四化建设做标兵
阳光凝大地,春色满人间
工农力拓改革路,城乡大开致富门
天地发春华车水马龙都市风光频醉眼,荧屏呈异彩道经德纬人家冷暖总关情
巨龙腾飞飞越十亿神州八方土,骏马奔驰驰骋万里江山一片春
大地春临多姿多彩,小康福至醉人醉心
东风引紫气江山明丽,大地发春光桃李芬芳
数树红梅点燃千家喜爆,一轮朝日迎来万户春光
人寿年丰春意好,风和日丽党恩深
纳言荐才四化指日可待,反腐倡廉九州中兴有期
播风洒雨培桃李,继往开来作烛梯
瑞日高悬塞北江南皆暖,东风浩荡天涯海角同春
科技振兴兴国兴业山河年年壮,勤劳致富富家富民岁月日日新
山河溢彩千秋艳,日月腾辉四季新
巧绣河山添美景,善争岁月献华年
国计民生双胜利,精神物质两文明
盘瓠神将上天去报喜,天蓬元师下界来除灾
绿化满园皆新绿,春回大地占早春
福泽人民勤奉献,忠诚祖国巧耕耘
文明巷陌和衷共济,道德邻居风雨同舟
同声歌大有,齐力奔小康
六九春风先惠我,万千景色最宜人
春光春色源春意,虎将虎年扬虎威
绣岭银河环画栋,丹书玉宇储琅函
山明水秀山河好,日丽风和日月新
天地同春柳绿花红皆美景,女男一样龙飞凤举尽良才
日沸千江涛涌玉,春梳万树柳摇金
绿草芳香芳草绿,青山秀丽秀山青
星管叶珠勺祥开万象,云屏通碧汉瑞启三阳
为官当权愿你一尘不染,离职卸任看我两袖清风
化日舒长五纬祥光连斗极,惠风和畅六符瑞采焕台阶
骏马奔腾千里路,新春更上一层楼
万里清风舒画卷,一鞭神骏奋前程
万马消尘蹄声响彻三千界,五羊衔瑞春意浓于二月花
吉春吉日千家吉,新纪新年万物新
继往开来跨世纪,承前启后越千年
雨顺风调辞马岁,民安国泰贺羊年
五岭山歌传喜讯,三江边唱起晚潮
春风惠我千村绿,时雨宜人四化兴
让千年童话成真农民笑饮自来水,向百代文盲告别村女喜当大学生
山青水碧春光好,柳绿桃红岁月新
共喜阳回大地,同歌春到人间
一门五福,三多九如
金卡畅行先富路,新居喜贺早临春
长风劲吹千帆起,百鸟齐鸣万木新
港澳双归两制添异彩,炎黄同庆九州展俊容
马叫人欢奔旭日,风驰电掣奋征程
旭日迎春辉玉宇,春风拂面暖人心
风送莺歌窗外绕,雪和梅馨阶前凝
民族正气山川增色,功臣喜报门第生辉
梅花欲待歌前发,兰气先迎酒上春
祖国稳定人人喜,社会和谐户户欢
桔井泉香杏林春暖,芝田露润蓬岛花浓
大地百花齐放,神州万象更新
昨夜春风才入户,今朝杨柳半垂堤
桃腮柳眼春含笑,水色山光韵带香
两袖清风公仆本色,一腔热血赤子情怀
岁届新春人福寿,羊衔金穗业丰收
四海歌迎新世纪,九州曲奏颂升平
春晓寅回人起舞,岁祯虎啸物昭苏
牛马成群丰裕户,猪羊满圈小康家
九域涌新潮四海雄鸡争唱晓,三春辉紫气八方彩凤共朝阳
春风新燕子,香月古梅花
神州美丽诗难赋,祖国妖娆画不如
信心百倍从头越,春色十分放眼量
国正人勤春永驻,法严纪肃国长安
春至百花香满地,节来万户喜盈门
黄莺鸣翠柳,金鼠恋苍松
冬雪欲白千里草,春晖又红万丛花
锣鼓喧天共奏迎春妙曲,风雷动地同抒蹈海豪情
爆竹声声春讯早,桃符处处岁时新
瑞绕重门增百福,春回甲第集千祥
反腐倡廉除硕鼠,扬长避短树新风
吉羊恭贺吉祥岁,赤子欢腾赤县春
三代雄才开盛纪,千秋伟业绘宏图
好水好山好景,新岁新居新人
楼台春日丽,世纪画图新
龙凤呈祥阳春锦绣,鲲鹏展翅华夏腾飞
修身养性彰寡欲,致志兴华建奇功
各族人民欢聚庆新春龙腾虎跃,九州儿女开怀歌盛世艺美情浓
太平盛世推当代,壮丽蓝图献此身
江南景色千般美,塞北风光万象新
河山溢彩,华夏增辉
旭日增辉五光十色山河秀,春风送暖万紫千红景象新
山重水复非无路,柳暗花明又好春
爷爷为千百年之松柏,孙孙是五六点的太阳
一院芝兰瑞气,万家杨柳春风
学海烟波舟共济,文坛晴雨气相求
人勤三春早,地肥五谷丰
风清春不老,谷聚岁常丰
春回大地喜盈室,福降人间笑满堂
九州喜庆三春日,四海欢呼大有年
一派春光花万树,满州烟景柳千行
桃吐千花迎富至,梅开玉福接春来
万马扬蹄踏凯歌而去,群羊翘首唤春信即来
同心同德民富裕,自强自力国繁荣
和气满回春色好,玉杯齐举乐音谐
喜雨三江新绿涨,春风五岭早梅香
山水吐芳意,风云入壮图
白头能做识途马,俯首甘为孺子牛
大好河山铺锦绣,高新科技创辉煌
上苑梅花早,重门柳色深
得意春风催骏马,及时惠雨润鲜花
八方秀色,一室清辉
得众邻帮谢众邻爱,吃百家饭做百年人
春光永照文明国,富水长流勤俭家
世上千祥皆入户,人间万福尽临门
北斗回寅万户金鸡争唱晓,东风送暖九霄玉兔喜迎春
倡计生更倡优生长引阳光临万户,兴国运犹兴家运喜圆好梦在三春
红旗引路,翠柳迎春
迎新春千门开抬头见喜,奔四化万人起举步生风
十里山岗瓜果熟,千家垄亩稻花香
喜爆声声报岁,红灯盏盏迎春
